Trial,ITI,M2f,total
1,1.2,4801,33027
2,1.2,2800,6454
3,1.1,8001,11555
4,1.1,8901,17371
5,1.1,5700,16624
6,1,2101,8008
7,1.2,2800,8913
8,1,4701,10608
9,1.2,4100,17580
