Trial,ITI,M2f,total
1,1,7901,24102
2,1.1,5000,8649
3,1.2,51807,65598
4,1.1,92612,123705
5,1.2,2801,14717
6,1,1801,4741
7,1.2,7601,16215
8,1,19602,35952
9,1,1701,4099
10,1.1,3501,5703
